Datetime,Open,High,Low,Close,Volume,Returns,Z-score-close,Change,Gain,Loss,Avg_Gain,Avg_Loss,Rs,RSI-close-score,EMA-Today-close-26D,EMA-Today-close-12D,MACD-Line,Single-Line,MACD-Histogram,Middle-Band,Upper-Band,Lower-Band,Bollinger-Bandwidth,%-Band,Intraday_Spread,Volume_Price_Velocity,obv-dir,OBV,OBV-ROC,Volume-Rate-of-Change,high_low,high_prev_close,low_prev_close,true_range,atr-s,atr-l,ATR-Ratio,Year,Time_Sin,Time_Cos,Daily_Vol,Target,Stage-1-confidence
2022-05-05 09:45:00,1320.1,1322.83,1319.6,1322.0,1069882,0.0014392849026589882,-1.344248700228554,1.900000000000091,1.900000000000091,0.0,0.75,1.9235714285714332,0.38989974006683903,28.052364413571965,1337.485442882515,1329.2871633504158,-8.19827953209915,-7.3867557409614415,-0.8115237911377085,1336.4125,1357.8557046652518,1314.969295334748,0.032090697543238886,0.16393782494286002,0.002443267776096837,0.0027713582199600344,1,-7672338,0.2944169424829777,165.1451767994687,3.230000000000018,2.730000000000018,0.5,3.230000000000018,6.784999999999984,7.451999999999989,0.910493827160493,2022,0.4817536741017153,0.8763066800438636,0.004356062907332886,0,
2022-05-06 03:45:00,1306.1,1324.05,1301.15,1324.05,2073902,0.0015506807866867423,-1.0758706581729647,2.0499999999999545,2.0499999999999545,0.0,0.8964285714285681,1.855714285714287,0.48306389530407795,32.572021801193785,1336.4902248912176,1328.4814459118902,-8.008778979327417,-7.511160388634637,-0.49761859069278014,1334.815,1354.8266992097938,1314.8033007902063,0.029984228840391713,0.23103233545675858,0.017295419357274924,0.005058291375476337,1,-5598436,-0.11470493727829811,422.9809811526299,22.899999999999864,2.0499999999999545,20.84999999999991,22.899999999999864,7.949285714285695,7.6159999999999854,1.0437612545018002,2022,0.0,1.0,0.0043377117189799825,0,
2022-05-06 04:00:00,1323.23,1329.5,1317.25,1321.48,1600512,-0.0019410143121483259,-1.2700466751701827,-2.5699999999999363,0.0,2.5699999999999363,0.7342857142857123,2.039285714285711,0.36007005253940416,26.474375482874052,1335.3783563807572,1327.404300386984,-7.974055993773163,-7.603739509662343,-0.37031648411082063,1333.114,1351.434586522446,1314.7934134775542,0.027485401132155036,0.18248833120745434,0.009269909495414232,-0.004459525137290711,-1,-7198948,0.0648527995668966,266.49980993904313,12.25,5.4500000000000455,6.7999999999999545,12.25,8.427857142857127,7.760999999999985,1.0859241261251311,2022,0.0,1.0,0.004227434475347408,0,
2022-05-06 04:15:00,1321.45,1321.45,1311.83,1314.85,681960,-0.005017102037110033,-1.8522263421340164,-6.630000000000109,0.0,6.630000000000109,0.6200000000000045,2.5128571428571473,0.2467310972143277,19.790241678066664,1333.85773738959,1325.4728695582173,-8.38486783137273,-7.759965174004421,-0.6249026573683096,1331.239,1348.9355413213136,1313.5424586786864,0.026586572841260793,0.03694341446649441,0.007316423926683743,-0.004818672039340111,-1,-7880908,0.08442217140152297,34.543374040681044,9.620000000000118,0.029999999999972715,9.650000000000091,9.650000000000091,8.709999999999988,7.872999999999988,1.10631271434015,2022,0.0,1.0,0.00430966266783127,0,
2022-05-06 04:30:00,1314.75,1315.88,1307.6,1309.08,590870,-0.004388333269954692,-2.1308825358054744,-5.769999999999982,0.0,5.769999999999982,0.5428571428571364,2.9250000000000034,0.18559218559218316,15.653964984551834,1332.0223494348056,1322.9508896261839,-9.07145980862174,-8.022264100927885,-1.0491957076938547,1329.4665,1348.6008254801175,1310.3321745198825,0.028784968226153073,-0.03272063395137025,0.0063250527087727266,-0.003625358688487593,-1,-8471778,0.09028103270542731,17.494879595935497,8.2800000000002,1.0300000000002,7.25,8.2800000000002,8.932142857142853,7.968599999999992,1.1209174581661598,2022,0.0,1.0,0.0025771879585508423,0,
2022-05-06 04:45:00,1309.05,1312.4,1305.33,1309.0,503100,-6.111162037458762e-05,-1.8760808862248994,-0.07999999999992724,0.0,0.07999999999992724,0.5428571428571364,2.4357142857142793,0.22287390029325305,18.225419664268458,1330.3169902174127,1320.8045989144632,-9.512391302949482,-8.320289541332205,-1.1921017616172769,1327.729,1347.6950900950674,1307.7629099049327,0.030075550198974833,0.03097977844377537,0.005401069518716703,-4.278875448040248e-05,-1,-8974878,0.05995618866933361,-27.813632620030816,7.070000000000164,3.3200000000001637,3.75,7.070000000000164,8.8407142857143,8.059999999999995,1.0968628146047525,2022,0.0,1.0,0.0025340708889300197,0,
2022-05-06 05:00:00,1309.08,1313.83,1305.53,1308.95,505762,-3.819709702057583e-05,-1.6506588132932103,-0.049999999999954525,0.0,0.049999999999954525,0.5428571428571364,2.4285714285714124,0.2235294117647047,18.26923076923069,1328.734250201308,1318.9808144660842,-9.753435735223775,-8.606918780110519,-1.1465169551132561,1326.255,1347.2223857015613,1305.287614298439,0.03161893557658394,0.08733529667669575,0.006340960311700183,-2.6789385364034676e-05,-1,-9480640,0.21688230641646444,-25.215218323500277,8.299999999999955,4.829999999999927,3.4700000000000273,8.299999999999955,8.99785714285716,8.004999999999995,1.124029624341932,2022,0.0,1.0,0.0025107931106339194,0,
2022-05-06 05:15:00,1308.85,1309.55,1304.0,1306.08,412234,-0.0021925971198289984,-1.683698432431799,-2.8700000000001182,0.0,2.8700000000001182,0.5428571428571364,2.171428571428578,0.24999999999999628,19.99999999999976,1327.0561575938036,1316.9960737789943,-10.060083814809332,-8.897551787050283,-1.162532027759049,1324.685,1346.7851571797253,1302.5848428202746,0.033366660269762746,0.07907539189204876,0.004249356854097723,-0.0012717737446093914,-1,-9892874,0.20244361825277468,-5.533683790807142,5.5499999999999545,0.599999999999909,4.9500000000000455,5.5499999999999545,8.80000000000002,8.000999999999994,1.099862517185355,2022,0.0,1.0,0.0025058140974800356,1,
2022-05-06 05:30:00,1306.08,1309.0,1301.8,1304.38,530530,-0.001301604802155909,-1.6347956497382614,-1.699999999999818,0.0,1.699999999999818,0.5428571428571364,2.2371428571428362,0.24265644955300064,19.527235354573435,1325.3764422164847,1315.0551393514568,-10.321302865027974,-9.182302002645821,-1.1390008623821526,1322.9165,1345.5939520753927,1300.2390479246073,0.03428402635448676,0.09130108756543484,0.005519863843358565,-0.0009640632696876234,-1,-10423404,0.3718774315890998,-15.708075678904853,7.2000000000000455,2.9200000000000728,4.279999999999973,7.2000000000000455,8.851428571428594,8.004999999999995,1.1057374855001372,2022,0.0,1.0,0.0024998287098356975,1,
2022-05-06 05:45:00,1304.35,1305.97,1297.8,1299.78,585838,-0.0035265796777014247,-1.8170414131432622,-4.600000000000136,0.0,4.600000000000136,0.5428571428571364,2.451428571428567,0.2214452214452192,18.12977099236626,1323.4804094597082,1312.7051179127711,-10.77529154693707,-9.50089991150407,-1.2743916354329983,1320.838,1344.0163379813805,1297.6596620186194,0.0350964130065618,0.04573964671418286,0.006285679114927198,-0.0028725552885427654,-1,-11009242,0.25931880003019825,-48.804168108586154,8.170000000000073,1.5899999999999181,6.580000000000155,8.170000000000073,9.037142857142888,7.998799999999997,1.1298123289922102,2022,0.0,1.0,0.0023741210256561546,1,
