Timestamp,Close,Stage1_Prob,Signal
2026-06-12 10:45:00,1269.1,0.4467,0
2026-06-12 11:00:00,1268.4,0.446,0
2026-06-12 11:15:00,1270.0,0.4414,0
2026-06-12 11:30:00,1269.9,0.4385,0
2026-06-12 11:45:00,1270.7,0.4322,0
2026-06-12 12:00:00,1270.0,0.43,-1
2026-06-12 12:15:00,1266.5,0.4347,-1
2026-06-12 12:30:00,1265.0,0.4412,0
2026-06-12 12:45:00,1263.6,0.4457,0
2026-06-12 13:00:00,1264.0,0.4475,0
2026-06-12 13:15:00,1264.0,0.4486,0
2026-06-12 13:30:00,1268.3,0.4455,0
2026-06-12 13:45:00,1276.4,0.4321,-1
2026-06-12 14:00:00,1281.5,0.4302,-1
2026-06-12 14:15:00,1282.8,0.4347,-1
2026-06-12 14:30:00,1284.0,0.4418,0
2026-06-12 14:45:00,1286.3,0.4491,0
2026-06-12 15:00:00,1290.3,0.4516,0
2026-06-12 15:15:00,1292.0,0.4536,0
2026-06-12 15:30:00,1296.4,0.4479,0
