Timestamp,Close,Stage1_Prob,Stage2_Raw_Logit,Risk_Manager_Signal
2026-06-17 10:15:06,2951.9,0.4961,0.0,0
2026-06-17 10:30:09,2968.0,0.491,0.0,0
2026-06-17 11:00,2960.0,0.4852,0.0,0
2026-06-17 11:15,2959.6,0.4834,0.0,0
2026-06-17 11:30,2958.0,0.4824,0.0,0
2026-06-17 11:45,2958.1,0.4811,0.0,0
2026-06-17 12:00,2955.6,0.4804,0.0,0
2026-06-17 12:15,2963.7,0.4786,0.0,0
2026-06-17 12:30,2965.2,0.4764,0.0,0
2026-06-17 12:45,2954.9,0.476,0.0,0
2026-06-17 13:00,2944.7,0.4795,0.0,0
2026-06-17 13:15,2949.5,0.4811,0.0,0
2026-06-17 13:30,2952.3,0.4839,0.0,0
2026-06-17 13:45,2947.9,0.4864,0.0,0
2026-06-17 14:00,2943.0,0.4886,0.0,0
2026-06-17 14:15,2943.0,0.4901,0.0,0
2026-06-17 14:30,2939.5,0.4918,0.0,0
2026-06-17 14:45,2942.2,0.4923,0.0,0
2026-06-17 15:00,2953.0,0.4906,0.0,0
2026-06-17 15:15,2955.0,0.4879,0.0,0
