Timestamp,Close,Stage1_Prob,Stage2_Raw_Logit,Risk_Manager_Signal
2026-06-17 09:30:02,924.8,0.532,0.0,0
2026-06-17 09:45:04,921.5,0.5311,0.0,0
2026-06-17 10:00:05,923.95,0.5291,0.0,0
2026-06-17 11:00,930.8,0.522,0.0,0
2026-06-17 11:15,930.35,0.5201,0.0,0
2026-06-17 11:30,929.25,0.5191,0.0,0
2026-06-17 11:45,931.75,0.5202,0.0,0
2026-06-17 12:00,930.3,0.5223,0.0,0
2026-06-17 12:15,934.4,0.5234,0.0,0
2026-06-17 12:30,933.7,0.5253,0.0,0
2026-06-17 12:45,934.15,0.5272,0.0,0
2026-06-17 13:00,933.3,0.5299,0.0,0
2026-06-17 13:15,932.95,0.5326,0.0,0
2026-06-17 13:30,932.6,0.5356,0.0,0
2026-06-17 13:45,932.35,0.5375,0.0,0
2026-06-17 14:00,933.5,0.5379,0.0,0
2026-06-17 14:15,932.55,0.5384,0.0,0
2026-06-17 14:30,932.3,0.5382,0.0,0
