Timestamp,Close,Stage1_Prob,Stage2_Raw_Logit,Risk_Manager_Signal
2026-06-17 09:30:00,2959.3,0.5356,0.0,0
2026-06-17 09:45:03,2993.0,0.5312,0.0,0
2026-06-17 10:00:05,2989.9,0.5267,0.0,0
2026-06-17 10:15:08,2991.4,0.5231,0.0,0
2026-06-17 11:00,3018.0,0.5202,0.0,0
2026-06-17 11:15,3029.0,0.5207,0.0,0
2026-06-17 11:30,3034.9,0.5225,0.0,0
2026-06-17 11:45,3045.6,0.5239,0.0,0
2026-06-17 12:00,3047.1,0.5266,0.0,0
2026-06-17 12:15,3050.8,0.5295,0.0,0
2026-06-17 12:30,3036.8,0.5337,0.0,0
2026-06-17 12:45,3043.0,0.5375,0.0,0
2026-06-17 13:00,3046.0,0.5413,0.0,0
2026-06-17 13:15,3047.3,0.545,0.0,0
2026-06-17 13:30,3043.4,0.5483,0.0,0
2026-06-17 13:45,3040.5,0.5511,0.0,0
2026-06-17 14:00,3040.2,0.5527,0.0,0
2026-06-17 14:15,3064.9,0.5503,0.0,0
2026-06-17 14:30,3073.7,0.5479,0.0,0
2026-06-17 14:45,3086.0,0.545,0.0,0
2026-06-17 15:00,3091.1,0.5424,0.0,0
2026-06-17 15:15,3101.7,0.5398,0.0,0
